title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
7支装 SOYRAIE HYMEYS 牙齿美白精华液 - 涂抹式配方，日常口腔护理，提升牙齿亮白度，无需电源，不含木瓜,,￥9-￥99,https://img.kwcdn.com/product/fancy/5bad51f1-bbbf-44fc-8b2e-6ea87f1b98e8.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
14片装 9D/片 日常深度清洁牙贴,,￥9-￥99,https://img.kwcdn.com/product/fancy/3c1721d9-c144-48dd-8bcf-20d0b760753f.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
薄荷味牙齿美白精华液，快速美白，刷牙时预防牙菌斑，深层清洁配方美白凝胶，自信展现洁白牙齿，男女适用，0.34盎司,,￥9-￥99,https://img.kwcdn.com/product/open/27d36a2b52124e5f956d84c8b027e170-goods.jpeg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
30片装免刷洁牙指套湿巾，方便携带，旅行装，适合餐后随时清洁牙齿，清新口气。,,￥9-￥99,https://img.kwcdn.com/product/fancy/30ee3a4d-f76e-4ec1-9b04-ffe5a1026694.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
28片/14对 7D紫色牙贴，日常及旅行牙齿清洁美白贴片,,￥9-￥99,https://img.kwcdn.com/product/fancy/9082b1d4-e22a-4d89-af5f-1974d55f870a.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
LED家用便携式牙齿清洁器男女通用,,￥9-￥99,https://img.kwcdn.com/product/fancy/94cb6dde-7e01-4194-bff4-9b6b81d02692.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
9D 敏感牙贴，不含过氧化物，Pap+ 新配方，7片/14片装，14片/28片装，21对/42片装，美白牙齿，清洁牙齿，清新口气，亮白牙齿，防滑设计,,￥9-￥99,https://img.kwcdn.com/product/fancy/b592296a-a36b-4ee0-9a21-5b32f65110da.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
2.71盎司牙齿清洁、口腔清洁、牙齿护理牙齿美白工具,,￥9-￥99,https://img.kwcdn.com/product/fancy/1b74b905-07c4-4dec-a741-7cd480d5e542.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
家用无线牙齿美白套装，配备16点LED蓝光加速器，自然去除牙渍，内含4支牙齿凝胶笔和免费色卡,,￥9-￥99,https://img.kwcdn.com/product/fancy/ae34d49d-72a9-4fdf-af57-56ba27971ed7.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
Rozino3D清洁牙膏温和不刺激，天然成分协同作用，全面呵护口腔，有效清洁牙齿，清新口气，适合日常口腔护理需求。,,￥9-￥99,https://img.kwcdn.com/product/fancy/cac36759-10c8-4f36-aed9-47f6cc8d08d4.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
家用牙刷头收纳盒，便携式旅行牙刷保护盖带排水孔支架,,￥9-￥99,https://img.kwcdn.com/product/fancy/d62a0c48-9316-4190-b829-973c1b440c4c.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
水果味清新口气喷雾——持久清新口气，温和不刺激配方，不辛辣，随时随地清新薄荷口气，方便携带。,,￥9-￥99,https://img.kwcdn.com/product/fancy/a665d3a9-464b-40da-b713-45c487aa23e0.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
强效洁牙牙膏，含烟酰胺和羟基磷灰石，深层清洁，清新口气，薄荷口味，刷牙后牙齿更亮白，温和不刺激配方，适合所有人，口腔护理礼品，旅行装,,￥9-￥99,https://img.kwcdn.com/product/fancy/aa14f1cd-024b-41c1-9658-2e806e5107a1.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
14片装9D牙齿贴片 - 深层清洁亮白牙齿贴，适合日常使用，温和呵护敏感牙龈，易于贴敷，美白牙齿，牙齿护理产品，口腔卫生，时尚包装，易于使用的贴片，牙齿贴片，牙齿护理套装,,￥9-￥99,https://img.kwcdn.com/product/fancy/f6e45cd7-c316-43c9-87b6-064ac9da7c96.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
1支专业牙齿美白笔 - 即时美白凝胶，带涂抹头，薄荷味，紫色，适用于敏感牙齿/牙龈，男女通用，套装（无需混合使用）,,￥9-￥99,https://img.kwcdn.com/product/fancy/f1cf0406-d449-4afb-9ec0-072a4f7147bd.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
烟酰胺美白羟基磷灰石牙膏，清洁、去渍、清新口气，果味配方，薄荷清香，刷牙令牙齿更亮白，温和不刺激配方，适合所有人使用，口腔护理礼品，旅行装,,￥9-￥99,https://img.kwcdn.com/product/fancy/607ea27d-07e6-4a8c-a600-c8912bbfac05.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
56片/28对装 低过敏性9D牙贴套装，安全易撕除，美白牙齿,,￥9-￥99,https://img.kwcdn.com/product/fancy/1158d45d-6e1f-4c4d-b847-a8c6b00b5e39.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
即用免刷牙洁牙剂，自信展现牙齿，保护牙龈，男女通用,,￥9-￥99,https://img.kwcdn.com/product/fancy/943ca05a-7432-438b-bd69-3cf0da62a5a3.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
3天牙齿精华液，双效配方，清新薄荷味，快速清洁牙齿表面污垢，清洁牙龈，呵护牙龈，清新口气，深层清洁口腔，全面呵护牙齿，亮白牙齿，送给女朋友的礼物,,￥9-￥99,https://img.kwcdn.com/product/open/5aa8b1af918145d4885716e48fd3344a-goods.jpeg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
薄荷/西瓜/桃子三种不同口味的口气清新喷雾，派对/晚宴/约会必备。10秒消除异味，持久留香，对抗口臭，清新口气。便携式口腔喷雾，持久清新。,,￥9-￥99,https://img.kwcdn.com/product/fancy/cfbecf30-3168-4481-82ad-fdfec64953eb.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
水果薄荷味长效口腔喷雾 - 温和配方，不刺激牙龈，清新口气，适合外出使用，旅行装快速补充装,,￥9-￥99,https://img.kwcdn.com/product/fancy/c2883b0a-691f-4112-a6e4-2e55bb910457.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
9D 紫色羟基磷灰石牙膏，深层清洁，亮白笑容，欧洲配方，薄荷清新口气，温和呵护牙龈，旅行装 100克/3.52盎司，男女皆宜的理想口腔护理礼品，适合日常使用，本地仓库发货。,,￥9-￥99,https://img.kwcdn.com/product/fancy/f83660e5-88bc-4503-97c9-e876077481dd.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
9D 紫色羟基磷灰石牙膏，深层清洁，亮白笑容，欧洲配方，清新薄荷口气，温和呵护牙龈，旅行装 100 克/3.52 盎司，男女皆宜的理想口腔护理礼品，适合日常使用,,￥9-￥99,https://img.kwcdn.com/product/fancy/3429a4c0-6fc3-4573-8bdd-e3161a48d712.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
4/8个装牙刷防尘盖，无香型，兼容替换刷头和iO系列电动牙刷刷头保护套,,￥9-￥99,https://img.kwcdn.com/product/open/c5fd3831693a4337bc40cb4f381ddb88-goods.jpeg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
14片装9D牙贴套装，安全易去除，亮白牙齿,,￥9-￥99,https://img.kwcdn.com/product/fancy/501a89c9-f2e9-4613-bae9-6dcb6d320ff6.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
100克/3.52盎司 20%羟基磷灰石牙膏 - 淡薄荷味，保护并强化牙釉质，日常口腔护理，成分，敏感牙齿适用,,￥9-￥99,https://img.kwcdn.com/product/fancy/9dd6ad45-a85f-4c8c-908f-ca00881adcce.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
水合磷酸氢盐牙膏，7.5% 美白牙齿修复，深层清洁薄荷配方，清新口气，增强口腔护理，基础清洁，女士理想礼品,,￥9-￥99,https://img.kwcdn.com/product/fancy/20fc5c11-a431-4731-8cc7-111e3998d1ad.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
便携式电动牙刷盒 - 高透明度防尘旅行收纳盒，适用于牙刷及配件,,￥9-￥99,https://img.kwcdn.com/product/fancy/45eb384d-abc7-4bbc-b6a2-904b957503f6.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
1支薄荷味紫色牙膏，牙齿护理，深层清洁，清新口气，绽放灿烂笑容，居家旅行皆宜，35毫升/1.18液盎司,,￥9-￥99,https://img.kwcdn.com/product/open/712025b88706405187ffcf46bb773ad0-goods.jpeg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
4 颗 0.74 盎司水果味口气清新剂，呵护口腔，持久清新，方便携带，约会、工作或餐后皆宜——理想的礼物之选。,,￥9-￥99,https://img.kwcdn.com/product/fancy/e3d98db6-fe48-49df-8cf1-a70e8ec1d6ef.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
ROZINO 速效牙膏，1.01盎司，适用于牙齿发黄和口臭，紫色清新凝胶，按压式设计，精准释放，便携软管包装，方便旅行和日常使用，提升自信笑容美白效果。,,￥9-￥99,https://img.kwcdn.com/product/fancy/19a327de-17cd-481e-8f24-94a924da117f.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
